QUAL	0	190.0	48	31	17	0
QUAL	0	190.1	4	2	2	0
QUAL	0	190.3	11	10	1	0
QUAL	0	190.4	8	7	1	0
QUAL	0	191.0	57	46	11	0
QUAL	0	191.2	3	2	1	0
QUAL	0	191.4	19	15	4	0
QUAL	0	192.0	46	33	13	0
QUAL	0	192.2	2	1	1	0
QUAL	0	192.3	4	2	2	0
QUAL	0	192.4	8	4	4	0
QUAL	0	193.0	49	32	17	0
QUAL	0	193.1	2	0	2	0
QUAL	0	193.3	13	5	8	0
QUAL	0	193.4	15	8	7	0
QUAL	0	194.0	43	33	10	0
QUAL	0	194.4	17	6	11	0
QUAL	0	195.0	44	25	19	0
QUAL	0	195.2	1	1	0	0
QUAL	0	195.4	5	2	3	0
QUAL	0	195.5	1	0	1	0
QUAL	0	195.9	1	0	1	0
QUAL	0	196.0	46	26	20	0
QUAL	0	196.1	1	0	1	0
QUAL	0	196.2	1	1	0	0
QUAL	0	196.3	3	2	1	0
QUAL	0	196.4	11	8	3	0
QUAL	0	197.0	42	27	15	0
QUAL	0	197.2	3	2	1	0
QUAL	0	197.3	2	1	1	0
QUAL	0	197.4	22	11	11	0
QUAL	0	197.5	1	1	0	0
QUAL	0	197.8	1	0	1	0
QUAL	0	198.0	53	34	19	0
QUAL	0	198.1	1	1	0	0
QUAL	0	198.2	1	0	1	0
QUAL	0	198.4	16	9	7	0
QUAL	0	198.5	1	1	0	0
QUAL	0	199.0	70	49	21	0
QUAL	0	199.1	2	0	2	0
QUAL	0	199.3	1	1	0	0
QUAL	0	199.4	7	5	2	0
QUAL	0	200.0	60	40	20	0
QUAL	0	200.2	1	0	1	0
QUAL	0	200.3	1	0	1	0
QUAL	0	200.4	26	19	7	0
QUAL	0	200.5	2	1	1	0
QUAL	0	201.0	38	26	12	0
QUAL	0	201.2	3	2	1	0
QUAL	0	201.3	1	1	0	0
QUAL	0	201.4	8	5	3	0
QUAL	0	201.5	2	2	0	0
QUAL	0	201.8	1	1	0	0
QUAL	0	202.0	60	37	23	0
QUAL	0	202.1	2	1	1	0
QUAL	0	202.2	1	0	1	0
QUAL	0	202.4	18	9	9	0
QUAL	0	202.9	1	1	0	0
QUAL	0	203.0	49	36	13	0
QUAL	0	203.2	3	1	2	0
QUAL	0	203.4	16	11	5	0
QUAL	0	203.6	1	0	1	0
QUAL	0	204.0	42	31	11	0
QUAL	0	204.1	1	1	0	0
QUAL	0	204.2	3	1	2	0
QUAL	0	204.3	1	0	1	0
QUAL	0	204.4	7	5	2	0
QUAL	0	205.0	64	36	28	0
QUAL	0	205.3	2	1	1	0
QUAL	0	205.4	16	10	6	0
QUAL	0	205.5	2	0	2	0
QUAL	0	205.8	2	2	0	0
QUAL	0	206.0	37	27	10	0
QUAL	0	206.2	2	0	2	0
QUAL	0	206.3	2	0	2	0
QUAL	0	206.4	13	7	6	0
QUAL	0	207.0	46	32	14	0
QUAL	0	207.1	1	0	1	0
QUAL	0	207.2	3	2	1	0
QUAL	0	207.3	1	1	0	0
QUAL	0	207.4	7	4	3	0
QUAL	0	208.0	55	41	14	0
QUAL	0	208.1	3	1	2	0
QUAL	0	208.3	5	3	2	0
QUAL	0	208.4	10	6	4	0
QUAL	0	209.0	29	18	11	0
QUAL	0	209.2	1	1	0	0
QUAL	0	209.3	1	1	0	0
QUAL	0	209.4	18	14	4	0
QUAL	0	209.5	1	1	0	0
QUAL	0	209.9	1	0	1	0
QUAL	0	210.0	42	30	12	0
